id,baseline_count,layer,head,masked_count,reduction
common_voice_en_17661177,3,0,15,2,1
common_voice_en_18754521,4,16,13,3,1
common_voice_en_18765645,1,25,16,0,1
common_voice_en_18765645,1,30,16,0,1
common_voice_en_18893500,2,8,1,1,1
common_voice_en_18893500,2,8,16,1,1
common_voice_en_18893500,2,10,0,1,1
common_voice_en_18893500,2,11,2,1,1
common_voice_en_18893500,2,11,18,1,1
common_voice_en_18893500,2,12,8,1,1
common_voice_en_18893500,2,14,1,1,1
common_voice_en_18893500,2,14,3,1,1
common_voice_en_18893500,2,14,11,1,1
common_voice_en_18893500,2,15,0,1,1
common_voice_en_18893500,2,15,5,1,1
common_voice_en_18893500,2,15,6,1,1
common_voice_en_18893500,2,15,19,1,1
common_voice_en_18893500,2,16,16,1,1
common_voice_en_18893500,2,16,19,1,1
common_voice_en_18893500,2,17,5,1,1
common_voice_en_18893500,2,17,7,1,1
common_voice_en_18893500,2,17,8,1,1
common_voice_en_18893500,2,17,11,1,1
common_voice_en_18893500,2,18,16,1,1
common_voice_en_18893500,2,19,12,1,1
common_voice_en_18893500,2,19,13,1,1
common_voice_en_18893500,2,20,18,1,1
common_voice_en_18893500,2,21,18,1,1
common_voice_en_18893500,2,22,1,1,1
common_voice_en_18893500,2,22,5,1,1
common_voice_en_18893500,2,23,16,1,1
common_voice_en_18893500,2,25,0,1,1
common_voice_en_18893500,2,25,5,1,1
common_voice_en_18893500,2,25,16,1,1
common_voice_en_18893500,2,25,18,1,1
common_voice_en_18893500,2,26,1,1,1
common_voice_en_18893500,2,30,3,1,1
common_voice_en_18893500,2,30,16,1,1
common_voice_en_18893500,2,31,9,1,1
common_voice_en_20688664,4,15,18,2,2
common_voice_en_20688664,4,16,1,2,2
common_voice_en_20688664,4,20,11,2,2
common_voice_en_25845294,1,0,4,0,1
common_voice_en_25845294,1,19,17,0,1
common_voice_en_25845294,1,20,18,0,1
common_voice_en_25845294,1,22,19,0,1
common_voice_en_25845294,1,24,6,0,1
common_voice_en_31752858,1,11,11,0,1
common_voice_en_31752858,1,13,0,0,1
common_voice_en_31752858,1,17,9,0,1
common_voice_en_31752858,1,19,17,0,1
common_voice_en_34954466,4,1,10,3,1
common_voice_en_34954466,4,3,3,3,1
common_voice_en_34954466,4,3,5,3,1
common_voice_en_34954466,4,4,8,3,1
common_voice_en_34954466,4,4,11,3,1
common_voice_en_34954466,4,4,13,3,1
common_voice_en_34954466,4,5,2,3,1
common_voice_en_34954466,4,5,15,3,1
common_voice_en_34954466,4,10,8,1,3
common_voice_en_34954466,4,13,2,3,1
common_voice_en_34954466,4,16,2,3,1
common_voice_en_34954466,4,16,13,3,1
common_voice_en_34954466,4,17,3,3,1
common_voice_en_34954466,4,20,11,3,1
common_voice_en_34954466,4,21,9,3,1
common_voice_en_34954466,4,21,15,3,1
common_voice_en_34954466,4,22,2,3,1
common_voice_en_34954466,4,22,16,3,1
common_voice_en_34954466,4,23,11,3,1
common_voice_en_34954466,4,24,18,3,1
common_voice_en_34954466,4,25,5,3,1
common_voice_en_34954466,4,27,3,3,1
common_voice_en_34954466,4,27,4,3,1
common_voice_en_34954466,4,28,6,3,1
common_voice_en_37318569,1,22,19,0,1
common_voice_en_37828418,1,13,17,0,1
common_voice_en_38174426,1,17,8,0,1
common_voice_en_38174426,1,20,11,0,1
common_voice_en_38361992,1,0,15,0,1
common_voice_en_38663260,1,8,15,0,1
common_voice_en_38663260,1,8,18,0,1
common_voice_en_38663260,1,11,2,0,1
common_voice_en_38663260,1,11,3,0,1
common_voice_en_38663260,1,11,11,0,1
common_voice_en_38663260,1,11,14,0,1
common_voice_en_38663260,1,12,8,0,1
common_voice_en_38663260,1,13,0,0,1
common_voice_en_38663260,1,13,17,0,1
common_voice_en_38663260,1,14,6,0,1
common_voice_en_38663260,1,14,7,0,1
common_voice_en_38663260,1,14,15,0,1
common_voice_en_38663260,1,14,16,0,1
common_voice_en_38663260,1,15,6,0,1
common_voice_en_38663260,1,16,2,0,1
common_voice_en_38663260,1,17,6,0,1
common_voice_en_38663260,1,17,13,0,1
common_voice_en_38663260,1,17,15,0,1
common_voice_en_38663260,1,18,11,0,1
common_voice_en_38663260,1,18,19,0,1
common_voice_en_38663260,1,20,1,0,1
common_voice_en_38663260,1,20,4,0,1
common_voice_en_38663260,1,20,6,0,1
common_voice_en_38663260,1,20,17,0,1
common_voice_en_38663260,1,21,2,0,1
common_voice_en_38663260,1,21,11,0,1
common_voice_en_38663260,1,21,15,0,1
common_voice_en_38663260,1,21,16,0,1
common_voice_en_38663260,1,21,17,0,1
common_voice_en_38663260,1,22,1,0,1
common_voice_en_38663260,1,22,2,0,1
common_voice_en_38663260,1,22,4,0,1
common_voice_en_38663260,1,22,5,0,1
common_voice_en_38663260,1,22,9,0,1
common_voice_en_38663260,1,22,11,0,1
common_voice_en_38663260,1,22,19,0,1
common_voice_en_38663260,1,23,1,0,1
common_voice_en_38663260,1,23,11,0,1
common_voice_en_38663260,1,23,13,0,1
common_voice_en_38663260,1,23,16,0,1
common_voice_en_38663260,1,24,3,0,1
common_voice_en_38663260,1,24,8,0,1
common_voice_en_38663260,1,24,18,0,1
common_voice_en_38663260,1,25,0,0,1
common_voice_en_38663260,1,25,5,0,1
common_voice_en_38663260,1,25,18,0,1
common_voice_en_38663260,1,26,13,0,1
common_voice_en_38663260,1,27,9,0,1
common_voice_en_38663260,1,27,11,0,1
common_voice_en_38663260,1,27,14,0,1
common_voice_en_38663260,1,28,2,0,1
common_voice_en_38663260,1,29,6,0,1
common_voice_en_38663260,1,29,9,0,1
common_voice_en_38663260,1,29,13,0,1
common_voice_en_38663260,1,30,0,0,1
common_voice_en_38663260,1,30,19,0,1
common_voice_en_38663260,1,31,8,0,1
common_voice_en_38663260,1,31,9,0,1
common_voice_en_40021346,1,20,6,0,1
common_voice_en_40021346,1,22,15,0,1
common_voice_en_40021346,1,25,8,0,1
common_voice_en_40021346,1,27,12,0,1
common_voice_en_40021346,1,29,6,0,1
common_voice_en_40886852,1,0,15,0,1
common_voice_en_40886852,1,3,2,0,1
common_voice_en_40886852,1,3,3,0,1
common_voice_en_40886852,1,9,7,0,1
common_voice_en_40886852,1,13,6,0,1
common_voice_en_40886852,1,24,6,0,1
common_voice_en_40886852,1,24,9,0,1
