trial_number,eval_loss,rank,alpha_ratio,alpha,dropout,target_mlp,lr,weight_decay
17,0.14947882905602455,32,1,32,0.05,True,0.00012894414393074176,0.0038765111709116325
16,0.15777224744670093,8,2,16,0.15,True,0.00024092145436664767,0.0018573288333114874
18,0.1676647599413991,4,1,4,0.0,True,0.0005945287330479985,1.0477226564098284e-06
13,0.16995640713721513,16,2,32,0.15,False,3.997206819121805e-05,9.074256288983866e-05
2,0.17073740737512708,16,2,32,0.0,False,3.8396292998041685e-05,1.8205657658407268e-06
0,0.17546915220096707,4,1,4,0.15,True,5.6115164153345e-05,1.2087541473056965e-06
3,0.1770754275773652,4,1,4,0.0,False,0.000790261954970823,0.004337920697490943
10,0.19183077624067665,8,1,8,0.0,False,3.797544798678414e-05,0.0016973078532467015
6,0.1925669183023274,16,1,16,0.15,True,1.913588048769229e-05,0.0012164139351417069
4,0.20287270605564117,4,2,8,0.15,False,3.292759134423613e-05,0.0002463768595899747
7,0.21680253319442272,16,1,16,0.05,True,1.4063366777718176e-05,0.0003550012525851161
1,0.22562811197713017,4,2,8,0.05,True,0.0008706020878304854,3.6138942712165278e-06
15,0.2542546047689393,32,1,32,0.1,True,0.0004683871708118725,4.982711200081135e-06
14,0.32347689583897593,16,1,16,0.1,False,0.0009360540102485373,2.2969898716342096e-06
11,0.3312430649250746,32,2,64,0.0,False,0.0006197015748809143,7.7344821566468e-06
5,0.3530510454857722,32,1,32,0.15,False,0.0006978281265126031,0.00014817820606039095
8,0.36528737368062136,32,2,64,0.05,False,0.000594874681321977,1.263794633808288e-06
19,0.6358318084478378,8,1,8,0.05,False,2.0970853331431125e-05,0.0024939838794891503
9,0.9487540340423584,8,1,8,0.05,False,1.6435497475111308e-05,2.031980983842497e-06
12,1.1536263513565064,8,1,8,0.15,False,1.736723715159314e-05,9.749762207436125e-05
